category,subcategory,api_name,function_name,description,args,returns,example,column_mapping,url_main,url_chk
auth,인증,접근토큰발급,auth_token,OAuth 접근토큰 발급 API를 호출하여 DataFrame으로 반환합니다.,"grant_type (str): [필수] 권한부여 Type (client_credentials)
appkey (str): [필수] 앱키 (한국투자증권 홈페이지에서 발급받은 appkey)
appsecret (str): [필수] 앱시크릿키 (한국투자증권 홈페이지에서 발급받은 appsecret)
env_dv (str): [필수] 환경구분 (real: 실전, demo: 모의)",pd.DataFrame: OAuth 토큰 발급 결과,"     df = auth_token(
    ...     grant_type=""client_credentials"",
    ...     appkey=trenv.my_app,
    ...     appsecret=trenv.my_sec,
    ...     env_dv=""real""
    ... )
     print(df)","{
    'access_token': '접근토큰',
    'token_type': '접근토큰유형',
    'expires_in': '접근토큰유효기간_초',
    'access_token_token_expired': '접근토큰유효기간_일시표시'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/auth/auth_token/auth_token.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/auth/auth_token/chk_auth_token.py
auth,인증,웹소켓 접속기 발급,auth_ws_token,WebSocket 웹소켓 접속키 발급 API를 호출하여 DataFrame으로 반환합니다.,"grant_type (str): [필수] 권한부여 Type (client_credentials)
appkey (str): [필수] 고객 앱Key (한국투자증권 홈페이지에서 발급받은 appkey)
appsecret (str): [필수] 고객 앱Secret (한국투자증권 홈페이지에서 발급받은 appsecret)
env_dv (str): [필수] 환경구분 (real: 실전, demo: 모의)
token (Optional[str]): 접근토큰 (OAuth 토큰이 필요한 API 경우 발급한 Access token)",pd.DataFrame: WebSocket 접속키 발급 결과,"     df = auth_ws_token(
    ...     grant_type=""client_credentials"",
    ...     appkey=trenv.my_app,
    ...     appsecret=trenv.my_sec,
    ...     env_dv=""real""
    ... )
     print(df)","{
    'code': '응답코드',
    'message': '응답메세지',
    'approval_key': '웹소켓접속키'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/auth/auth_ws_token/auth_ws_token.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/auth/auth_ws_token/chk_auth_ws_token.py
domestic_bond,주문/계좌,장내채권 매도주문,sell,[장내채권] 주문/계좌 장내채권 매도주문[국내주식-123] 장내채권 매도주문 API를 호출하여 DataFrame으로 반환합니다.,"cano (str): 종합계좌번호
acnt_prdt_cd (str): 계좌상품코드
ord_dvsn (str): 주문구분
pdno (str): 상품번호
ord_qty2 (str): 주문수량2
bond_ord_unpr (str): 채권주문단가
sprx_yn (str): 분리과세여부
samt_mket_ptci_yn (str): 소액시장참여여부
sll_agco_opps_sll_yn (str): 매도대행사반대매도여부
bond_rtl_mket_yn (str): 채권소매시장여부
buy_dt (str, optional): 매수일자. Defaults to """".
buy_seq (str, optional): 매수순번. Defaults to """".
mgco_aptm_odno (str, optional): 운용사지정주문번호. Defaults to """".
ord_svr_dvsn_cd (str, optional): 주문서버구분코드. Defaults to ""0"".
ctac_tlno (str, optional): 연락전화번호. Defaults to """".",Optional[pd.DataFrame]: 장내채권 매도주문 데이터,"     df = sell(
    ...     cano=trenv.my_acct,
    ...     acnt_prdt_cd=trenv.my_prod,
    ...     ord_dvsn=""01"",
    ...     pdno=""KR6095572D81"",
    ...     ord_qty2=""1"",
    ...     bond_ord_unpr=""10000.0"",
    ...     sprx_yn=""N"",
    ...     samt_mket_ptci_yn=""N"",
    ...     sll_agco_opps_sll_yn=""N"",
    ...     bond_rtl_mket_yn=""N""
    ... )
     print(df)","{
    'KRX_FWDG_ORD_ORGNO': '한국거래소전송주문조직번호',
    'ODNO': '주문번호',
    'ORD_TMD': '주문시각'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/sell/sell.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/sell/chk_sell.py
domestic_bond,주문/계좌,장내채권 매수주문,buy,[장내채권] 주문/계좌 장내채권 매수주문[국내주식-124] 장내채권 매수주문 API를 호출하여 DataFrame으로 반환합니다.,"cano (str): 종합계좌번호 (8자리)
acnt_prdt_cd (str): 계좌상품코드 (2자리)
pdno (str): 상품번호 (12자리)
ord_qty2 (str): 주문수량2 (19자리)
bond_ord_unpr (str): 채권주문단가 (182자리)
samt_mket_ptci_yn (str): 소액시장참여여부 ('Y' or 'N')
bond_rtl_mket_yn (str): 채권소매시장여부 ('Y' or 'N')
idcr_stfno (str, optional): 유치자직원번호 (6자리). Defaults to """".
mgco_aptm_odno (str, optional): 운용사지정주문번호 (12자리). Defaults to """".
ord_svr_dvsn_cd (str, optional): 주문서버구분코드. Defaults to """".
ctac_tlno (str, optional): 연락전화번호. Defaults to """".",Optional[pd.DataFrame]: 장내채권 매수주문 데이터,"     df = buy(
    ...     cano=trenv.my_acct, 
    ...     acnt_prdt_cd=trenv.my_prod,
    ...     pdno=""KR1234567890"", 
    ...     ord_qty2=""10"", 
    ...     bond_ord_unpr=""10000"",
    ...     samt_mket_ptci_yn=""N"",
    ...     bond_rtl_mket_yn=""Y""
    ... )
     print(df)","{
    'KRX_FWDG_ORD_ORGNO': '한국거래소전송주문조직번호',
    'ODNO': '주문번호',
    'ORD_TMD': '주문시각'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/buy/buy.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/buy/chk_buy.py
domestic_bond,주문/계좌,장내채권 정정취소주문,order_rvsecncl,[장내채권] 주문/계좌 장내채권 정정취소주문[국내주식-125] 장내채권 정정취소주문 API를 호출하여 DataFrame으로 반환합니다.,"cano (str): 종합계좌번호
acnt_prdt_cd (str): 계좌상품코드
pdno (str): 상품번호
orgn_odno (str): 원주문번호
ord_qty2 (str): 주문수량2
bond_ord_unpr (str): 채권주문단가
qty_all_ord_yn (str): 잔량전부주문여부
rvse_cncl_dvsn_cd (str): 정정취소구분코드
mgco_aptm_odno (str, optional): 운용사지정주문번호. Defaults to """".
ord_svr_dvsn_cd (str, optional): 주문서버구분코드. Defaults to ""0"".
ctac_tlno (str, optional): 연락전화번호. Defaults to """".",Optional[pd.DataFrame]: 장내채권 정정취소주문 데이터,"     df = order_rvsecncl(
    ...     cano=trenv.my_acct,
    ...     acnt_prdt_cd=trenv.my_prod,
    ...     pdno=""KR6095572D81"",
    ...     orgn_odno=""0000015402"",
    ...     ord_qty2=""2"",
    ...     bond_ord_unpr=""10460"",
    ...     qty_all_ord_yn=""Y"",
    ...     rvse_cncl_dvsn_cd=""01""
    ... )
     print(df)","{
    'KRX_FWDG_ORD_ORGNO': '한국거래소전송주문조직번호',
    'ODNO': '주문번호',
    'ORD_TMD': '주문시각'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/order_rvsecncl/order_rvsecncl.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/order_rvsecncl/chk_order_rvsecncl.py
domestic_bond,주문/계좌,채권정정취소가능주문조회,inquire_psbl_rvsecncl,[장내채권] 주문/계좌 채권정정취소가능주문조회[국내주식-126] 채권정정취소가능주문조회 API를 호출하여 DataFrame으로 반환합니다.,"cano (str): 종합계좌번호 (예: '12345678')
acnt_prdt_cd (str): 계좌상품코드 (예: '01')
ord_dt (str): 주문일자 (예: '20230101')
odno (str): 주문번호 (예: '0000000001')
ctx_area_fk200 (str): 연속조회검색조건200 (예: '조건값')
ctx_area_nk200 (str): 연속조회키200 (예: '키값')
tr_cont (str): 연속 거래 여부 (기본값: """")
dataframe (Optional[pd.DataFrame]): 누적 데이터프레임
depth (int): 현재 재귀 깊이
max_depth (int): 최대 재귀 깊이 (기본값: 10)",Optional[pd.DataFrame]: 채권정정취소가능주문조회 데이터,"     df = inquire_psbl_rvsecncl(
    ...     cano=trenv.my_acct,
    ...     acnt_prdt_cd=trenv.my_prod,
    ...     ord_dt='20230101',
    ...     odno='0000000001',
    ...     ctx_area_fk200='조건값',
    ...     ctx_area_nk200='키값'
    ... )
     print(df)","{
    'odno': '주문번호',
    'pdno': '상품번호',
    'rvse_cncl_dvsn_name': '정정취소구분명',
    'ord_qty': '주문수량',
    'bond_ord_unpr': '채권주문단가',
    'ord_tmd': '주문시각',
    'tot_ccld_qty': '총체결수량',
    'tot_ccld_amt': '총체결금액',
    'ord_psbl_qty': '주문가능수량',
    'orgn_odno': '원주문번호',
    'sll_buy_dvsn_cd': '매도매수구분코드',
    'ord_dvsn_cd': '주문구분코드',
    'mgco_aptm_odno': '운용사지정주문번호',
    'samt_mket_ptci_yn': '소액시장참여여부'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_psbl_rvsecncl/inquire_psbl_rvsecncl.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_psbl_rvsecncl/chk_inquire_psbl_rvsecncl.py
domestic_bond,주문/계좌,장내채권 주문체결내역,inquire_daily_ccld,[장내채권] 주문/계좌 장내채권 주문체결내역[국내주식-127] 장내채권 주문체결내역 API를 호출하여 DataFrame으로 반환합니다.,"cano (str): 종합계좌번호
acnt_prdt_cd (str): 계좌상품코드
inqr_strt_dt (str): 조회시작일자 (1주일 이내)
inqr_end_dt (str): 조회종료일자 (조회 당일)
sll_buy_dvsn_cd (str): 매도매수구분코드 (%(전체), 01(매도), 02(매수))
sort_sqn_dvsn (str): 정렬순서구분 (01(주문순서), 02(주문역순))
pdno (str): 상품번호
nccs_yn (str): 미체결여부 (N(전체), C(체결), Y(미체결))
ctx_area_nk200 (str): 연속조회키200
ctx_area_fk200 (str): 연속조회검색조건200
dataframe1 (Optional[pd.DataFrame]): 누적 데이터프레임 (output1)
dataframe2 (Optional[pd.DataFrame]): 누적 데이터프레임 (output2)
tr_cont (str): 연속 거래 여부
depth (int): 현재 재귀 깊이
max_depth (int): 최대 재귀 깊이 (기본값: 10)","Tuple[pd.DataFrame, pd.DataFrame]: 장내채권 주문체결내역 데이터","     df1, df2 = inquire_daily_ccld(
    ...     cano=trenv.my_acct,
    ...     acnt_prdt_cd=trenv.my_prod,
    ...     inqr_strt_dt='20230101',
    ...     inqr_end_dt='20230107',
    ...     sll_buy_dvsn_cd='01',
    ...     sort_sqn_dvsn='01',
    ...     pdno='000000000001',
    ...     nccs_yn='N',
    ...     ctx_area_nk200='',
    ...     ctx_area_fk200=''
    ... )
     print(df1)
     print(df2)","{
    'tot_ord_qty': '총주문수량',
    'tot_ccld_qty_smtl': '총체결수량합계',
    'tot_bond_ccld_avg_unpr': '총채권체결평균단가',
    'tot_ccld_amt_smtl': '총체결금액합계',
    'ord_dt': '주문일자',
    'odno': '주문번호',
    'orgn_odno': '원주문번호',
    'ord_dvsn_name': '주문구분명',
    'sll_buy_dvsn_cd_name': '매도매수구분코드명',
    'shtn_pdno': '단축상품번호',
    'prdt_abrv_name': '상품약어명',
    'ord_qty': '주문수량',
    'bond_ord_unpr': '채권주문단가',
    'ord_tmd': '주문시각',
    'tot_ccld_qty': '총체결수량',
    'bond_avg_unpr': '채권평균단가',
    'tot_ccld_amt': '총체결금액',
    'loan_dt': '대출일자',
    'buy_dt': '매수일자',
    'samt_mket_ptci_yn_name': '소액시장참여여부명',
    'sprx_psbl_yn_ifom': '분리과세가능여부알림',
    'ord_mdia_dvsn_name': '주문매체구분묭',
    'sll_buy_dvsn_cd': '매도매수구분코드',
    'nccs_qty': '미체결수량',
    'ord_gno_brno': '주문채번지점번호'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_daily_ccld/inquire_daily_ccld.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_daily_ccld/chk_inquire_daily_ccld.py
domestic_bond,주문/계좌,장내채권 잔고조회,inquire_balance,[장내채권] 주문/계좌 장내채권 잔고조회[국내주식-198] 장내채권 잔고조회 API를 호출하여 DataFrame으로 반환합니다.,"cano (str): 종합계좌번호
acnt_prdt_cd (str): 계좌상품코드
inqr_cndt (str): 조회조건 (00: 전체, 01: 상품번호단위)
pdno (str): 상품번호 (공백 허용)
buy_dt (str): 매수일자 (공백 허용)
FK200 (str): 연속조회검색조건200
NK200 (str): 연속조회키200
tr_cont (str): 연속 거래 여부 (기본값: """")
dataframe (Optional[pd.DataFrame]): 누적 데이터프레임
depth (int): 현재 재귀 깊이
max_depth (int): 최대 재귀 깊이 (기본값: 10)",Optional[pd.DataFrame]: 장내채권 잔고조회 데이터,"     df = inquire_balance(
    ...     cano=trenv.my_acct,
    ...     acnt_prdt_cd=trenv.my_prod,
    ...     inqr_cndt='00',
    ...     pdno='',
    ...     buy_dt='',
    ... )
     print(df)","{
    'pdno': '상품번호',
    'buy_dt': '매수일자',
    'buy_sqno': '매수일련번호',
    'cblc_qty': '잔고수량',
    'agrx_qty': '종합과세수량',
    'sprx_qty': '분리과세수량',
    'exdt': '만기일',
    'buy_erng_rt': '매수수익율',
    'buy_unpr': '매수단가',
    'buy_amt': '매수금액',
    'ord_psbl_qty': '주문가능수량'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_balance/inquire_balance.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_balance/chk_inquire_balance.py
domestic_bond,주문/계좌,장내채권 매수가능조회,inquire_psbl_order,[장내채권] 주문/계좌 장내채권 매수가능조회[국내주식-199] 장내채권 매수가능조회 API를 호출하여 DataFrame으로 반환합니다.,"cano (str): 종합계좌번호 (필수)
acnt_prdt_cd (str): 계좌상품코드 (필수)
pdno (str): 채권종목코드(ex KR2033022D33)
bond_ord_unpr (str): 채권주문단가 (필수)
tr_cont (str): 연속 거래 여부 (기본값: """")
dataframe (Optional[pd.DataFrame]): 누적 데이터프레임
depth (int): 현재 재귀 깊이
max_depth (int): 최대 재귀 깊이 (기본값: 10)",Optional[pd.DataFrame]: 장내채권 매수가능조회 데이터,"     df = inquire_psbl_order(""12345678"", ""01"", ""KR2033022D33"", ""1000"")
     print(df)","{
    'ord_psbl_cash': '주문가능현금',
    'ord_psbl_sbst': '주문가능대용',
    'ruse_psbl_amt': '재사용가능금액',
    'bond_ord_unpr2': '채권주문단가2',
    'buy_psbl_amt': '매수가능금액',
    'buy_psbl_qty': '매수가능수량',
    'cma_evlu_amt': 'CMA평가금액'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_psbl_order/inquire_psbl_order.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_psbl_order/chk_inquire_psbl_order.py
domestic_bond,기본시세,장내채권현재가(호가),inquire_asking_price,[장내채권] 기본시세 장내채권현재가(호가)[국내주식-132] 장내채권현재가(호가) API를 호출하여 DataFrame으로 반환합니다.,"fid_cond_mrkt_div_code (str): 시장 분류 코드 (B 입력)
fid_input_iscd (str): 채권종목코드 (ex KR2033022D33)
tr_cont (str): 연속 거래 여부 (기본값: """")
dataframe (Optional[pd.DataFrame]): 누적 데이터프레임 (기본값: None)
depth (int): 현재 재귀 깊이 (기본값: 0)
max_depth (int): 최대 재귀 깊이 (기본값: 10)",Optional[pd.DataFrame]: 장내채권현재가(호가) 데이터,"     df = inquire_asking_price(fid_cond_mrkt_div_code=""B"", fid_input_iscd=""KR2033022D33"")
     print(df)","{
    'aspr_acpt_hour': '호가 접수 시간',
    'bond_askp1': '채권 매도호가1',
    'bond_askp2': '채권 매도호가2',
    'bond_askp3': '채권 매도호가3',
    'bond_askp4': '채권 매도호가4',
    'bond_askp5': '채권 매도호가5',
    'bond_bidp1': '채권 매수호가1',
    'bond_bidp2': '채권 매수호가2',
    'bond_bidp3': '채권 매수호가3',
    'bond_bidp4': '채권 매수호가4',
    'bond_bidp5': '채권 매수호가5',
    'askp_rsqn1': '매도호가 잔량1',
    'askp_rsqn2': '매도호가 잔량2',
    'askp_rsqn3': '매도호가 잔량3',
    'askp_rsqn4': '매도호가 잔량4',
    'askp_rsqn5': '매도호가 잔량5',
    'bidp_rsqn1': '매수호가 잔량1',
    'bidp_rsqn2': '매수호가 잔량2',
    'bidp_rsqn3': '매수호가 잔량3',
    'bidp_rsqn4': '매수호가 잔량4',
    'bidp_rsqn5': '매수호가 잔량5',
    'total_askp_rsqn': '총 매도호가 잔량',
    'total_bidp_rsqn': '총 매수호가 잔량',
    'ntby_aspr_rsqn': '순매수 호가 잔량',
    'seln_ernn_rate1': '매도 수익 비율1',
    'seln_ernn_rate2': '매도 수익 비율2',
    'seln_ernn_rate3': '매도 수익 비율3',
    'seln_ernn_rate4': '매도 수익 비율4',
    'seln_ernn_rate5': '매도 수익 비율5',
    'shnu_ernn_rate1': '매수2 수익 비율1',
    'shnu_ernn_rate2': '매수2 수익 비율2',
    'shnu_ernn_rate3': '매수2 수익 비율3',
    'shnu_ernn_rate4': '매수2 수익 비율4',
    'shnu_ernn_rate5': '매수2 수익 비율5'
}",https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_asking_price/inquire_asking_price.py,https://github.com/koreainvestment/open-trading-api/tree/main/examples_llm/domestic_bond/inquire_asking_price/chk_inquire_asking_price.py
